timestamp,thread_label,utilization,frequency
2023-03-25 15:53:00.996987764 +05:30,cpu5,85.57692,3550
2023-03-25 15:53:00.997022166 +05:30,cpu6,82.52427,3550
2023-03-25 15:53:00.997056146 +05:30,cpu7,84.31373,3559
2023-03-25 15:53:02.028392356 +05:30,cpu0,84.46602,3623
2023-03-25 15:53:02.028452683 +05:30,cpu1,84.31373,3700
2023-03-25 15:53:02.028481022 +05:30,cpu2,89.32039,3700
2023-03-25 15:53:02.028508191 +05:30,cpu3,86.27451,3699
2023-03-25 15:53:02.028534814 +05:30,cpu4,83.33333,3699
2023-03-25 15:53:02.028561685 +05:30,cpu5,84.31373,3700
2023-03-25 15:53:02.028588531 +05:30,cpu6,88.34952,3700
2023-03-25 15:53:02.028614827 +05:30,cpu7,88.2353,3700
2023-03-25 15:53:03.056361896 +05:30,cpu0,89.42308,3771
2023-03-25 15:53:03.056422118 +05:30,cpu1,84.61539,3727
2023-03-25 15:53:03.056450295 +05:30,cpu2,90.29126,3775
2023-03-25 15:53:03.056479128 +05:30,cpu3,87.5,3781
2023-03-25 15:53:03.056505935 +05:30,cpu4,88.34952,3752
2023-03-25 15:53:03.056532573 +05:30,cpu5,88.46153,3781
2023-03-25 15:53:03.056558915 +05:30,cpu6,78.84615,3781
2023-03-25 15:53:03.056585535 +05:30,cpu7,87.5,3781
2023-03-25 15:53:04.088353956 +05:30,cpu0,88.2353,3673
2023-03-25 15:53:04.088433829 +05:30,cpu1,88.34952,3643
2023-03-25 15:53:04.088478209 +05:30,cpu2,90.29126,3650
2023-03-25 15:53:04.088520538 +05:30,cpu3,83.49515,3640
2023-03-25 15:53:04.088562075 +05:30,cpu4,83.49515,3641
2023-03-25 15:53:04.088603665 +05:30,cpu5,87.12871,3654
2023-03-25 15:53:04.088645600 +05:30,cpu6,88.2353,3616
2023-03-25 15:53:04.088687304 +05:30,cpu7,84.31373,3653
2023-03-25 15:53:05.120383209 +05:30,cpu0,89.32039,3836
2023-03-25 15:53:05.120449581 +05:30,cpu1,86.40777,3844
2023-03-25 15:53:05.120479071 +05:30,cpu2,89.32039,3829
2023-03-25 15:53:05.120530081 +05:30,cpu3,87.61905,3923
2023-03-25 15:53:05.120574406 +05:30,cpu4,84.46602,3818
2023-03-25 15:53:05.120617230 +05:30,cpu5,87.5,3844
2023-03-25 15:53:05.120660513 +05:30,cpu6,84.46602,3844
2023-03-25 15:53:05.120703493 +05:30,cpu7,87.37864,3824
2023-03-25 15:53:06.148346362 +05:30,cpu0,85.43689,3780
2023-03-25 15:53:06.148417717 +05:30,cpu1,82.35294,3778
2023-03-25 15:53:06.148453337 +05:30,cpu2,90.29126,3771
2023-03-25 15:53:06.148487288 +05:30,cpu3,87.37864,3773
2023-03-25 15:53:06.148521649 +05:30,cpu4,90.29126,3761
2023-03-25 15:53:06.148553489 +05:30,cpu5,90.196075,3772
2023-03-25 15:53:06.148585588 +05:30,cpu6,80.58252,3778
2023-03-25 15:53:06.148631923 +05:30,cpu7,89.21568,3773
2023-03-25 15:53:07.180358847 +05:30,cpu0,85.57692,3708
2023-03-25 15:53:07.180413590 +05:30,cpu1,86.53847,3716
2023-03-25 15:53:07.180444110 +05:30,cpu2,89.32039,3716
2023-03-25 15:53:07.180473211 +05:30,cpu3,84.46602,3708
2023-03-25 15:53:07.180499650 +05:30,cpu4,82.52427,3716
2023-03-25 15:53:07.180525334 +05:30,cpu5,89.32039,3707
2023-03-25 15:53:07.180550654 +05:30,cpu6,88.34952,3700
2023-03-25 15:53:07.180576083 +05:30,cpu7,87.37864,3710
2023-03-25 15:53:08.208367254 +05:30,cpu0,88.34952,3736
2023-03-25 15:53:08.208431154 +05:30,cpu1,88.2353,3778
2023-03-25 15:53:08.208460152 +05:30,cpu2,84.46602,3715
2023-03-25 15:53:08.208688129 +05:30,cpu3,85.43689,3715
2023-03-25 15:53:08.208785062 +05:30,cpu4,83.49515,3715
2023-03-25 15:53:08.208848197 +05:30,cpu5,90.196075,3715
2023-03-25 15:53:08.208882546 +05:30,cpu6,80.769226,3715
2023-03-25 15:53:08.208915259 +05:30,cpu7,88.34952,3715
2023-03-25 15:53:09.240376722 +05:30,cpu0,84.46602,3840
2023-03-25 15:53:09.240433525 +05:30,cpu1,84.31373,3849
2023-03-25 15:53:09.240460721 +05:30,cpu2,89.32039,3856
2023-03-25 15:53:09.240486887 +05:30,cpu3,90.29126,3800
2023-03-25 15:53:09.240512617 +05:30,cpu4,90.196075,3849
2023-03-25 15:53:09.240538485 +05:30,cpu5,87.5,3840
2023-03-25 15:53:09.240563933 +05:30,cpu6,84.46602,3800
2023-03-25 15:53:09.240589603 +05:30,cpu7,88.46153,3840
2023-03-25 15:53:10.272354487 +05:30,cpu0,89.21568,3743
2023-03-25 15:53:10.272420661 +05:30,cpu1,83.65385,3721
2023-03-25 15:53:10.272457743 +05:30,cpu2,90.196075,3717
2023-03-25 15:53:10.272495291 +05:30,cpu3,82.52427,3715
2023-03-25 15:53:10.272531339 +05:30,cpu4,85.57692,3715
2023-03-25 15:53:10.272565877 +05:30,cpu5,86.27451,3718
2023-03-25 15:53:10.272588307 +05:30,cpu6,89.42308,3722
2023-03-25 15:53:10.272607101 +05:30,cpu7,91.17647,3715
